time	nose_x	nose_y	r_shoulder_x	r_shoulder_y	l_shoulder_x	l_shooulder_t	cursor_x	cursor_y	block	repetition	target	trial	state	comeback	is_blind	at_home	count_mouse	score
0.14913000166416168	0.0	0.0	0.0	0.0	0.0	0.0	600.0	325.0	1	1	0	1	0	1	0	1	0	0
33.30196300148964	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.619201251357257	1	1	0	1	0	1	0	1	0	0
66.38031800091267	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.86668529238922	1	1	0	1	0	1	0	1	0	0
99.46182600036263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	196.5609453331508	1	1	0	1	0	1	0	1	0	0
132.61044999957085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	391.3414891958946	1	1	0	1	0	1	0	1	0	0
165.6746100001037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	509.7592450017594	1	1	0	1	0	1	0	1	0	0
198.77331399917603	0.0	0.0	0.0	0.0	0.0	0.0	0.0	602.0083458223914	1	1	0	1	0	1	0	1	0	0
232.06472500041127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	663.1290693726439	1	1	0	1	0	1	0	1	0	0
265.15968000143766	0.0	0.0	0.0	0.0	0.0	0.0	0.0	682.4323952858488	1	1	0	1	0	1	0	1	0	0
300.24376000091434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	701.9926257009392	1	1	0	1	0	1	0	1	0	0
333.36066300049424	0.0	0.0	0.0	0.0	0.0	0.0	0.0	702.4959268313327	1	1	0	1	0	1	0	1	0	0
366.4611009992659	0.0	0.0	0.0	0.0	0.0	0.0	0.0	698.0907248857	1	1	0	1	0	1	0	1	0	0
399.56661900132895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	676.7230613540493	1	1	0	1	0	1	0	1	0	0
432.6430610008538	0.0	0.0	0.0	0.0	0.0	0.0	0.0	662.0815290853207	1	1	0	1	0	1	0	1	0	0
465.7152100019157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	646.5698831597767	1	1	0	1	0	1	0	1	0	0
499.0398919992149	0.5330325961112976	0.5772988796234131	0.3117186725139618	0.900704562664032	0.7807415723800659	0.9065527319908142	8.942491383677151	634.960759322677	1	1	0	1	0	1	0	1	0	0
532.1175970025361	0.5330325961112976	0.5772988796234131	0.3117186725139618	0.900704562664032	0.7807415723800659	0.9065527319908142	65.54745021374457	600.3812076880429	1	1	0	1	0	1	0	1	0	0
565.2070370018482	0.5330325961112976	0.5772988796234131	0.3117186725139618	0.900704562664032	0.7807415723800659	0.9065527319908142	186.52062271998813	528.4262843941397	1	1	0	1	0	1	0	1	0	0
598.2818560004234	0.5330325961112976	0.5772988796234131	0.3117186725139618	0.900704562664032	0.7807415723800659	0.9065527319908142	440.72107910223264	377.34358975318054	1	1	0	1	0	1	0	1	0	0
631.4252780005336	0.5326157808303833	0.5919197797775269	0.30306941270828247	0.9172130823135376	0.7789102792739868	0.9123197197914124	610.0960672295747	280.5552435321011	1	1	0	1	0	1	0	1	0	0
664.5024030022323	0.5326157808303833	0.5919197797775269	0.30306941270828247	0.9172130823135376	0.7789102792739868	0.9123197197914124	740.3331521559247	229.06806565378523	1	1	0	1	0	1	0	1	0	0
697.5773970000446	0.5326157808303833	0.5919197797775269	0.30306941270828247	0.9172130823135376	0.7789102792739868	0.9123197197914124	832.0481535662511	267.0325320456826	1	1	0	1	0	1	0	1	0	0
730.6585660018027	0.5369155406951904	0.5889542102813721	0.31280964612960815	0.9015495181083679	0.7841345071792603	0.9108257293701172	834.6579349267289	341.9588622810283	1	1	0	1	0	1	0	1	0	0
763.7606029994786	0.5369155406951904	0.5889542102813721	0.31280964612960815	0.9015495181083679	0.7841345071792603	0.9108257293701172	815.3615988151244	402.92031400457745	1	1	0	1	0	1	0	1	0	0
796.8356290012598	0.5369155406951904	0.5889542102813721	0.31280964612960815	0.9015495181083679	0.7841345071792603	0.9108257293701172	793.4318016845749	418.3519873211916	1	1	0	1	0	1	0	1	0	0
829.9046510010958	0.5369155406951904	0.5889542102813721	0.31280964612960815	0.9015495181083679	0.7841345071792603	0.9108257293701172	774.6637933455378	359.0923631281822	1	1	0	1	0	1	0	1	0	0
862.9931250028312	0.5385948419570923	0.5957391262054443	0.31490233540534973	0.9054130911827087	0.7836033701896667	0.9081372022628784	772.0659186095306	250.22267648830433	1	1	0	1	0	1	0	1	0	0
896.1097760014236	0.5385948419570923	0.5957391262054443	0.31490233540534973	0.9054130911827087	0.7836033701896667	0.9081372022628784	767.0517858370379	178.62601082775032	1	1	0	1	0	1	0	1	0	0
930.0411510020494	0.5385948419570923	0.5957391262054443	0.31490233540534973	0.9054130911827087	0.7836033701896667	0.9081372022628784	755.4504133161182	120.87999296866255	1	1	0	1	0	1	0	1	0	0
967.6783370003104	0.5385948419570923	0.5957391262054443	0.31490233540534973	0.9054130911827087	0.7836033701896667	0.9081372022628784	739.0425479643632	81.50890700770995	1	1	0	1	0	1	0	1	0	0
1000.7779610008001	0.5471616983413696	0.5937916040420532	0.3070095479488373	0.9150327444076538	0.7821455001831055	0.9096865057945251	712.585505683631	54.890161417625	1	1	0	1	0	1	0	1	0	0
1033.8681250028312	0.5471616983413696	0.5937916040420532	0.3070095479488373	0.9150327444076538	0.7821455001831055	0.9096865057945251	698.2515557978425	51.15786982434238	1	1	0	1	0	1	0	1	0	0
